Call_Type,Category,Response Type
A.C.O.R.N. Test,Administrative and Support,Routine
ABC Liquor License Applicant,Administrative and Support,Routine
Academy Assignment,Administrative and Support,Routine
Active/Administratively Closed,Administrative and Support,Routine
Administrative Assignment,Administrative and Support,Routine
Applicant ABC License,Administrative and Support,Routine
Applicant ABC License (Server),Administrative and Support,Routine
Applicant ABC Liquor License (Business),Administrative and Support,Routine
Applicant AD Material License,Administrative and Support,Routine
Applicant All Others,Administrative and Support,Routine
Applicant City Employee,Administrative and Support,Routine
Applicant Concealed Carry,Administrative and Support,Routine
Applicant Firearm(s),Administrative and Support,Routine
Applicant Handicapped Permit,Administrative and Support,Routine
Applicant Ice Cream Vendor,Administrative and Support,Routine
Applicant Jewelry,Administrative and Support,Routine
Applicant Landscaper,Administrative and Support,Routine
Applicant Limo,Administrative and Support,Routine
Applicant Peddling License,Administrative and Support,Routine
Applicant Pistol Permit,Administrative and Support,Routine
Applicant Police Auxiliary,Administrative and Support,Routine
Applicant Police Officer,Administrative and Support,Routine
Applicant Snow Removal,Administrative and Support,Routine
Applicant Solicitor,Administrative and Support,Routine
Applicant Spa Therapy,Administrative and Support,Routine
Applicant Taxi,Administrative and Support,Routine
Applicant Towing,Administrative and Support,Routine
Applicant Vending License,Administrative and Support,Routine
Background Checks,Administrative and Support,Routine
CCH / III Request,Administrative and Support,Routine
Canceled Call,Administrative and Support,Routine
Canvassing / Peddling Permit,Administrative and Support,Routine
Car Wash,Administrative and Support,Routine
Civil Defense Test,Administrative and Support,Routine
Coffee Break,Administrative and Support,Routine
Computer Issue - Desktop,Administrative and Support,Routine
Computer Issue - Vehicle,Administrative and Support,Routine
Conditional Dismissal Process,Administrative and Support,Routine
Court - Federal,Administrative and Support,Routine
Court - Municipal,Administrative and Support,Routine
Court - Municipal Prisoner,Administrative and Support,Routine
Court - Other Municipality,Administrative and Support,Routine
Court - Superior,Administrative and Support,Routine
Court Officer,Administrative and Support,Routine
Court Order,Administrative and Support,Routine
Desk Coverage,Administrative and Support,Routine
Docket – Drop Off,Administrative and Support,Routine
Docket – Pick up,Administrative and Support,Routine
Exceptionally Cleared/Closed,Administrative and Support,Routine
Expungement,Administrative and Support,Routine
FTO Documentation,Administrative and Support,Routine
Fingerprints,Administrative and Support,Routine
General Information,Administrative and Support,Routine
Generated in Error,Administrative and Support,Routine
Generator Test,Administrative and Support,Routine
Good Conduct Letter Request,Administrative and Support,Routine
Group,Administrative and Support,Routine
HQ Assignment,Administrative and Support,Routine
ICE Notification,Administrative and Support,Routine
Improper Records,Administrative and Support,Routine
Information,Administrative and Support,Routine
Meal Break,Administrative and Support,Routine
Meeting,Administrative and Support,Routine
NCIC Record,Administrative and Support,Routine
No Investigation,Administrative and Support,Routine
Notification Request,Administrative and Support,Routine
OPRA Request,Administrative and Support,Routine
Off the Air,Administrative and Support,Routine
Parole/Probation Registry,Administrative and Support,Routine
Peace Officer,Administrative and Support,Routine
Photography,Administrative and Support,Routine
Prisoner Log,Administrative and Support,Routine
Prisoner Transport,Administrative and Support,Routine
Property Damage - Police Vehicle,Administrative and Support,Routine
Property Disposition,Administrative and Support,Routine
Property Returned - Court Ordered,Administrative and Support,Routine
Property Returned - Lost and Found,Administrative and Support,Routine
Radio Coverage,Administrative and Support,Routine
Records Request,Administrative and Support,Routine
Records Request - DCPP (DYFS),Administrative and Support,Routine
Refuel Vehicle,Administrative and Support,Routine
Relief / Personal,Administrative and Support,Routine
Road Job/Outside Assignment,Administrative and Support,Routine
Service - Subpoena,Administrative and Support,Routine
Service - Summons,Administrative and Support,Routine
Sex Offender - General,Administrative and Support,Routine
Sex Offender - Serve Documents,Administrative and Support,Routine
Sex Offender - Serve Tier Papers,Administrative and Support,Routine
Sex Offender - Travel,Administrative and Support,Routine
Sex Offender Registration,Administrative and Support,Routine
Sex Offender Registration - Employment,Administrative and Support,Routine
Sex Offender Registration - School Enrollment,Administrative and Support,Routine
Sex Offender-Removal Order,Administrative and Support,Routine
Sex Offender-Serve Tier Papers,Administrative and Support,Routine
Special Assignment,Administrative and Support,Routine
Surrender of Ammunition,Administrative and Support,Routine
Surrender of Weapon,Administrative and Support,Routine
Surrendered Firearm ID Card,Administrative and Support,Routine
Surrendered License Plates,Administrative and Support,Routine
Task Assignment,Administrative and Support,Routine
Time Check,Administrative and Support,Routine
Training,Administrative and Support,Routine
Training Record,Administrative and Support,Routine
Transportation,Administrative and Support,Routine
U-Visa,Administrative and Support,Routine
Unfounded Incident,Administrative and Support,Routine
Unfounded/Closed,Administrative and Support,Routine
Vacation,Administrative and Support,Routine
Validation,Administrative and Support,Routine
Vehicle Maintenance,Administrative and Support,Routine
Warning Issued,Administrative and Support,Routine
Warrant Recall,Administrative and Support,Routine
