Call_Type,Category,Response Type
Car Seat Installation,Community Engagement,Routine
Church Crossing,Community Engagement,Routine
Community Engagement - Community Policing,Community Engagement,Routine
Community Engagement - Crime Prevention,Community Engagement,Routine
Community Engagement - Crisis Intervention,Community Engagement,Routine
Community Engagement - Emergency Response,Community Engagement,Routine
Community Engagement - Online Engagement,Community Engagement,Routine
Community Engagement - Public Education,Community Engagement,Routine
Community Engagement - School Outreach,Community Engagement,Routine
Community Engagement - Traffic Safety,Community Engagement,Routine
Community Engagement - Victim Support,Community Engagement,Routine
DARE Assignment,Community Engagement,Routine
Presentation Community Policing,Community Engagement,Routine
School Crossing,Community Engagement,Routine
School Detail,Community Engagement,Routine
