Call_Type,Category,Response Type
Aggravated Assault - 2C:12-1b,Criminal Incidents,Emergency
Aggravated Sexual Assault - 2C:14-2a,Criminal Incidents,Emergency
Aiding Suicide - 2C:11-6,Criminal Incidents,Emergency
Alcohol/School Property - 2C:33-16,Criminal Incidents,Urgent
Annoying Phone Calls - 2C:33-4a,Criminal Incidents,Routine
Arrest Process,Criminal Incidents,Routine
Arrest and JV Complaints,Criminal Incidents,Routine
Arson - 2C:17-1,Criminal Incidents,Emergency
Attempted Burglary - 2C:18-2,Criminal Incidents,Routine
Attempted Burglary - Commercial - 2C:18-2,Criminal Incidents,Emergency
Attempted Burglary - Residence - 2C:18-2,Criminal Incidents,Emergency
Bad Checks - 2C:21-5,Criminal Incidents,Routine
Bias Incident,Criminal Incidents,Urgent
Bribery - 2C:27-2,Criminal Incidents,Routine
Burglar Tools - 2C:5-5,Criminal Incidents,Routine
Burglary - Auto - 2C:18-2,Criminal Incidents,Emergency
Burglary - Commercial - 2C:18-2,Criminal Incidents,Emergency
Burglary - Residence - 2C:18-2,Criminal Incidents,Emergency
CDS/Dist.; School Property - 2C:35-7,Criminal Incidents,Urgent
CDS/Distribution - 2C:35-5,Criminal Incidents,Urgent
CDS/Possession: Influence - 2C:35-10,Criminal Incidents,Urgent
CDS: Obtain by Fraud - 2C:35-13,Criminal Incidents,Urgent
Carjacking - 2C:15-2,Criminal Incidents,Emergency
Catalytic Converter Theft,Criminal Incidents,Routine
Cleared - Arrest,Criminal Incidents,Routine
Cleared-Arrest,Criminal Incidents,Routine
Compensation - 2C:27-4,Criminal Incidents,Routine
Compensation/Public Servant - 2C:27-7,Criminal Incidents,Routine
Complaint Signed,Criminal Incidents,Routine
Compounding - 2C:29-4,Criminal Incidents,Routine
Conspiracy - 2C:5-2,Criminal Incidents,Routine
Contempt of Court - 2C:29-9,Criminal Incidents,Urgent
Counterfeit Money,Criminal Incidents,Routine
Creating a Hazard - 2C:40-1,Criminal Incidents,Emergency
Credit Cards - Unlawful Use - 2C:21-6,Criminal Incidents,Routine
Credit Practices - 2C:21-19,Criminal Incidents,Routine
Criminal Attempt - 2C:5-1,Criminal Incidents,Routine
Criminal Coercion - 2C:13-5,Criminal Incidents,Routine
Criminal Homicide - 2C:11-2,Criminal Incidents,Emergency
Criminal Mischief - 2C:17-3,Criminal Incidents,Routine
Criminal Mischief - Graffiti - 2C:17-3,Criminal Incidents,Routine
Criminal Mischief - Park - 2C:17-3,Criminal Incidents,Routine
Criminal Mischief - School - 2C:17-3,Criminal Incidents,Routine
Criminal Mischief - Vehicle - 2C:17-3,Criminal Incidents,Routine
Criminal Restraint - 2C:13-2,Criminal Incidents,Routine
Criminal Sexual Contact - 2C:14-3a,Criminal Incidents,Routine
Criminal Simulation - 2C:21-2,Criminal Incidents,Routine
Criminal Trespass - 2C:18-3,Criminal Incidents,Routine
Cyber Harassment - 2C:33-4.1,Criminal Incidents,Routine
Damage to Property: Threats - 2C:33-11,Criminal Incidents,Routine
Deceased Person/Sexual Pen. - 2C:34-5,Criminal Incidents,Routine
Desecration/Venerated Obj. - 2C:33-9,Criminal Incidents,Routine
Disorderly Conduct - 2C:33-2,Criminal Incidents,Urgent
Disrupting Meet/Procession - 2C:33-8s,Criminal Incidents,Urgent
Domestic Violence - 2C:25-21,Criminal Incidents,Emergency
Drug Paraphernalia - 2C:36-2,Criminal Incidents,Routine
Embezzlement,Criminal Incidents,Routine
Endangering Welfare - 2C:24-4,Criminal Incidents,Routine
Endangering Welfare - 2C:24-7,Criminal Incidents,Routine
Endangering Welfare - 2C:24-8,Criminal Incidents,Routine
Escape - 2C:29-5,Criminal Incidents,Emergency
Evidence Tampering - 2C:28-6,Criminal Incidents,Routine
False Imprisonment - 2C:13-3,Criminal Incidents,Emergency
False Public Alarm - 2C:33-3,Criminal Incidents,Routine
False Reports - 2C:28-4,Criminal Incidents,Routine
False Swearing - 2C:28-2,Criminal Incidents,Routine
Fear of Bodily Violence - 2C:33-10,Criminal Incidents,Emergency
Fencing - 2C:20-7.1,Criminal Incidents,Routine
Food/Drug Tampering - 2C:40-17,Criminal Incidents,Routine
Forgery - 2C:21-1,Criminal Incidents,Routine
Fraud,Criminal Incidents,Routine
Fugitive from Justice,Criminal Incidents,Emergency
Gifts/Public Servant - 2C:27-6,Criminal Incidents,Routine
Harassment - 2C:33-4,Criminal Incidents,Routine
Hindering Apprehension - 2C:29-3,Criminal Incidents,Routine
Homicide - 2C:11-2,Criminal Incidents,Emergency
Hypodermic/Possession - 2C:36-6,Criminal Incidents,Routine
Identity Theft,Criminal Incidents,Routine
Imitation CDS - 2C:35-11,Criminal Incidents,Routine
Impersonating Public Servant - 2C:28-9,Criminal Incidents,Routine
Implements for Escape - 2C:29-6,Criminal Incidents,Routine
Injury/Law Enforce. Animals - 2C:29-3.1,Criminal Incidents,Routine
Interception/Emerg. Comm. - 2C:33-21,Criminal Incidents,Routine
Interference - 2C:29-1,Criminal Incidents,Routine
Interference With Custody - 2C:13-4,Criminal Incidents,Routine
Interference w/Transport. - 2C:33-14,Criminal Incidents,Routine
Interference/Railway Signals - 2C:33-14.1,Criminal Incidents,Routine
Invasion of Privacy - Observing,Criminal Incidents,Routine
Kidnapping - 2C:13-1,Criminal Incidents,Emergency
Lewdness - 2C:14-4,Criminal Incidents,Routine
Loitering/CDS Offense - 2C:33-2.1,Criminal Incidents,Routine
M.V. Master Keys - 2C:5-6,Criminal Incidents,Routine
Maintaining a Nuisance - 2C:33-12,Criminal Incidents,Routine
Manslaughter - 2C:11-4,Criminal Incidents,Emergency
Megan's Law Violation,Criminal Incidents,Urgent
Money Laundering,Criminal Incidents,Routine
Motor Vehicle Theft - 2C:20-3,Criminal Incidents,Routine
Murder - 2C:11-3,Criminal Incidents,Emergency
Non-Support - 2C:24-5,Criminal Incidents,Routine
Obscenity - Over 18 yrs. - 2C:34-2,Criminal Incidents,Routine
Obscenity - Under 18 yrs. - 2C:34-3,Criminal Incidents,Routine
Obscenity Public Comm. - 2C:34-4,Criminal Incidents,Routine
Obscenity Retail Display - 2C:34-3.2,Criminal Incidents,Routine
Obstructing Highways/Pass. - 2C:33-7,Criminal Incidents,Emergency
Obstruction of Govermental Function,Criminal Incidents,Urgent
Obstruction of Governmental Function,Criminal Incidents,Urgent
Official Misconduct - 2C:30-2,Criminal Incidents,Routine
Paging Device/Illicit Use - 2C:33-20,Criminal Incidents,Routine
Paging Device/Minors - 2C:33-18,Criminal Incidents,Routine
Paging Device/Student - 2C:33-19,Criminal Incidents,Routine
Perjury 2C:28-1,Criminal Incidents,Routine
Prohibited Weapons - 2C:39-3,Criminal Incidents,Emergency
Prostitution - 2C:34-1,Criminal Incidents,Routine
Public Safety/Sr. Citizens - 2C:24-8,Criminal Incidents,Routine
Receiving Stolen Property - 2C:20-7,Criminal Incidents,Routine
Reckless Endangerment - 2C:12-2,Criminal Incidents,Routine
