Call_Type,Category,Response Type
CDS/Employing Juvenile - 2C:35-6,Juvenile-Related Incidents,Urgent
Child Abuse - Title 9,Juvenile-Related Incidents,Urgent
Compulsory School Attend. - Title 18A:38-2,Juvenile-Related Incidents,Routine
DCPP (DYFS),Juvenile-Related Incidents,Routine
Enticing a Child - 2C:13-6,Juvenile-Related Incidents,Routine
Juvenile Complaint (Criminal),Juvenile-Related Incidents,Urgent
Juvenile Complaint (Non-Criminal),Juvenile-Related Incidents,Routine
Juvenile Complaint Signed,Juvenile-Related Incidents,Routine
Juvenile Investigation,Juvenile-Related Incidents,Routine
Missing Person - Juvenile,Juvenile-Related Incidents,Urgent
Missing Person - Return - Juvenile,Juvenile-Related Incidents,Routine
NARCAN Deployment - Juvenile - Aid,Juvenile-Related Incidents,Emergency
Overdose - Juvenile - Aid,Juvenile-Related Incidents,Emergency
Stationhouse Adjustment,Juvenile-Related Incidents,Routine
TOT DCP&P,Juvenile-Related Incidents,Routine
Truancy,Juvenile-Related Incidents,Routine
